;0
69;No
70;It would be helpful if the data dictionary could be finalized sooner. I don't like to request information until it's been approved, and as a result, I've been receiving complaints that I'm not giving people enough time to prepare their data.
72;As it was the first time for our unit to conduct the Service Inventory exercise on behalf of our department, it required extra time for transfer of knowledge and learning about the TBS requirements and process. As mentioned above, understanding the definitions of what was required in the data collection templates were a bit of a challenge, but the support provided by TBS was very helpful and much appreciated.
9;Two issues identified (minor) after submission in the portal. 
11;some parts of the instructions were unclear, such as the need to email deputy head approval
24;Someone of authority should be providing/leading the drop-in sessions. Translations of the data dictionary are poor. The data dictionary still includes many questions that are no longer required.  Excel template was very difficult to use (coding not useful). Changing reporting portals every year is challenging.   
33;Is there another tool other than excel that could be explored to collect and submit the data e.g. GC Forms?
35;Shift from EPM to excel template resulted in additional work to generate the spreadsheet
38;Q&A sessions should be posted online after completion. New data requirements should be written and posted clearly on the GCXchange site. New instructions for templates need to be released earlier. The integrated call letter should be released earlier. Data relationships should be clearly explained as they are applied in GCepm for GCapm and critical service information and how service information needs to be correlated to the critical applications listed in apm and on the CBAS list.  Future dashboards utilizing service information should be openly shared so all departments can give feedback. 
47;"Communication on the overall purpose of the reporting exercise; Changing requirements and definitions"
49;There were a number of errors identified following submission, and it was not clear what the error related to or how to resolve them.
51;You need to be proficient at EXCEL to manipulate the service inventory data collection template. The format is not user friendly and so we felt compelled to put it in a different format to gather information from service leads across the organization and to seek approval from our Deputies on the substance of the update. We then manually converted the data back into the TBS template so we could do the upload. This adds extra effort and time to the process. 
52;While not 'tight timelines' modifying the template throughout the process, caused major delays.
55;"follow up on ""critical issues"" with service inventory was very confusing, far too many emails, raising alarms about not significant issues and lack of common sense and judgment around what was actually meant to be reported and achieved with the process."
58;I feel an FAQ could have helped answer many questions. Maybe a quick video (CSPS training style video) could easily explain all about this particular exercise. 
61;TBS call out are coming way too late in the process (around mid-end of Sept) and requiring DM approval a months later and data entry 7 weeks after. The call out comes with surprises with unexpected changes which messes up with current internal call out. Deadline are too tight, and changes of requirements are communicated too late. Solution: 1. Have call out ready by latest May with clear requirements and deadlines. 2. Maintain Drop in sessions throughout the summer. It is frustrating getting TBS call out in Sept, this has been happening since 2020, could we improve process please. It will facilitate our work. Also call out keep changing from one year to another, we are ok with that but then again finalize it by May and then no mroe last minute change like we have experiences last time (some columns were removed and we needed to add two more... unacceptable request, unrealistic and disrepectful). Please consider impact on any changes or last minute changes on departments and agencies. Respect the fact that we need at least 5 months to get a request like this to be completed on our end.
63;The error messages and some definitions in the file aren't clear with providing details on how to make corrections on your own. Not intuitive
64;"Timing of information; initial meetings had missing information that was indicated it would come later (i.e., date integrated call letter would be sent)"
